main_tech,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
2.4 Gal,40870.0,5884.0,31911.0,31824.0,48263.0,27404.0,50830.0,53040.0,20774.0,15912.0,49946.0,0.0
48oz,1856750.0,460878.0,2002972.0,2307292.04,1928594.24,2281860.6857142854,2318929.6,2334003.4285714286,1732119.8354285713,1687020.9371428571,1215970.528,1215970.528
B&J Cups,85270.0,46867.0,81958.0,84426.23999999999,38880.0,20511.359999999997,49464.0,102677.76,38232.0,67910.4,96249.59999999999,29790.719999999998
BJ Bars,90072.0,73307.0,58119.0,132960.96,281869.44,134400.0,107520.0,215040.0,215040.0,134400.0,161280.0,80640.0
BJ PTS,1841658.0,612910.0,2146577.0,2177305.0,2198813.0,2136242.4,2220003.4285714286,2161075.2,1830432.0,1646148.0,1106265.6,1506265.6
BR Minicups,42417.0,0.0,8608.4,3758.3999999999996,47607.36,134096.63999999998,157593.59999999998,107827.2,24883.199999999997,8294.4,8294.4,16588.8
BR Pts New,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dough Bites,53743.0,5120.0,27117.0,51840.0,43680.0,34800.0,37920.0,30720.0,13440.0,24960.0,25440.0,18720.0
EDF,417960.0,121990.0,441886.0,551635.2,485184.0,395580.0,414105.0,377311.5,356022.0,241893.0,193882.5,45000.0
EFW,0.0,9618.0,240.0,18662.399999999998,41472.0,121472.0,142208.0,122208.0,61472.0,40736.0,102208.0,20000.0
ESS,89895.0,13540.0,119052.0,172146.24,241931.51999999996,202696.32,75390.72,117489.59999999999,105861.12,97042.56,102662.4,35942.4
Facepieces,150000.0,125284.0,322308.0,831169.92,339694.07999999996,307088.64,276403.2,391336.32,145927.68,181470.72,225354.24,135010.56
"GH ""Candy""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Cones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Vanilla Sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL Mini Cones,216.0,13425.0,5080.0,161280.0,59131.2,42240.0,56448.0,0.0,0.0,24504.96,0.0,0.0
MBG,203368.0,69612.0,227147.0,424608.0,424128.0,343900.0,326657.5,312455.0,238577.5,246557.5,0.0,0.0
MG Sticks,543661.0,171915.0,705455.0,955824.0,986304.0,694925.0,711075.0,676875.0,568575.0,140000.0,0.0,0.0
Other,202685.0,43337.0,356405.0,543548.16,620958.72,725092.8,435457.92,274550.39999999997,148174.08000000002,141026.88,73213.44,39326.399999999994
PG,244397.0,88142.0,581868.0,595123.2,610097.28,241363.2,174720.0,257961.6,179462.4,225264.0,697670.4,86563.2
PTS,22671.0,0.0,69122.16,0.0,66528.0,43690.3877543776,48544.875282641784,53399.36281090596,46117.63151850969,90000.0,43690.3877543776,112500.0
PTS Exports,67932.0,8824.0,90116.0,44352.0,62784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repack Items,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repack MG Sticks,7828.0,9983.0,81591.0,57600.0,76800.0,96000.0,38400.0,4800.0,0.0,0.0,4800.0,0.0
SP1,0.0,85296.0,195877.0,304128.0,327096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundaes,33616.0,81737.0,45972.0,110880.0,149688.0,95017.10397449002,105574.55997165557,116132.01596882113,100295.8319730728,90000.0,95017.10397449002,90000.0
TALENTI,273606.0,229664.0,260614.24,385920.0,314976.0,700807.6799999999,700807.6799999999,775894.2171428571,571200.0,652800.0,408000.0,400461.53142857144
Talenti,513798.0,225971.0,844141.0,1028928.0,912864.0,299911.68,299911.68,332045.07428571425,235200.0,299911.68,168000.0,278489.4171428571
Topped,121965.0,162834.0,211985.0,193248.0,120384.0,144960.98827113237,161067.76474570262,177174.5412202729,153014.37650841748,144000.0,144960.98827113237,193500.0
YS PTS,209681.0,267017.0,182686.0,226200.0,125760.0,77760.0,155520.0,77760.0,125760.0,77760.0,131520.0,50880.0
Yasso Club,164600.0,382315.0,358694.0,110592.0,181742.4,221184.0,110592.0,442368.0,331776.0,331776.0,344832.0,331776.0
Yasso Cups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yasso Poppables,99.0,20779.0,0.0,3456.0,0.0,21120.0,10560.0,8448.0,10560.0,6336.0,4224.0,0.0
Yasso Sandwich,0.0,33793.0,34332.0,0.0,53664.0,0.0,0.0,0.0,0.0,7065.599999999999,0.0,0.0
Yasso Sticks,242877.0,94385.0,542233.0,521005.44,1504560.0,531600.0,534960.0,379440.0,251760.0,201600.0,252000.0,175920.0
pG,32205.0,19429.0,65013.0,20160.0,60480.0,0.0,76475.0,73150.0,69825.0,76475.0,0.0,0.0
