,main_tech,month,supply_cases,demand_cases,projected_inv_cases,doh
0,2.4 Gal,2026-01,40870.0,25743.0,141515.0,103.28764507802126
1,2.4 Gal,2026-02,5884.0,26984.0,187395.0,102.47216287926625
2,2.4 Gal,2026-03,31911.0,55222.347076517806,195686.6529234822,110.94598660285789
3,2.4 Gal,2026-04,31824.0,54502.08621418421,204832.566709298,104.48713298902686
4,2.4 Gal,2026-05,48263.0,51325.979630484115,249505.5870788139,102.26576881973735
5,2.4 Gal,2026-06,27404.0,66295.71838135204,210613.8686974619,93.38608672176332
6,2.4 Gal,2026-07,50830.0,80090.85258470471,181353.0161127572,123.78776114669932
7,2.4 Gal,2026-08,53040.0,55227.293463091315,179165.72264966587,180.83127556789603
8,2.4 Gal,2026-09,20774.0,32674.619181328173,167265.10346833768,207.27976848996687
9,2.4 Gal,2026-10,15912.0,26772.74867702502,156404.35479131265,213.0305172755069
10,2.4 Gal,2026-11,49946.0,21644.452293488597,184705.90249782405,230.16406936330466
11,2.4 Gal,2026-12,0.0,22406.801055074302,162299.10144274976,184.68613967350666
12,48oz,2026-01,1856750.0,1685873.0,2807066.0,41.514685472412786
13,48oz,2026-02,460878.0,1636436.0,3375504.0,45.774857219205906
14,48oz,2026-03,2002972.0,2420537.0466083046,3849757.373391696,53.741322213456286
15,48oz,2026-04,2307292.04,2003949.5013262178,4199159.912065478,52.336111047063156
16,48oz,2026-05,1928594.24,2294147.9940432822,4024714.158022196,50.6428480471485
17,48oz,2026-06,2281860.6857142854,2519919.9541342836,3786654.889602195,51.52467691951995
18,48oz,2026-07,2318929.6,2248430.5394341485,3857153.9501680466,59.95812049147962
19,48oz,2026-08,2334003.4285714286,2161093.3423169283,4030064.036422547,71.17090979629053
20,48oz,2026-09,1732119.8354285713,1698754.7502024192,4063429.121648699,63.5709188322533
21,48oz,2026-10,1687020.9371428571,1801333.544787253,3949116.514004303,64.5017721580204
22,48oz,2026-11,1215970.528,2033843.7938046318,3131243.2481996715,56.49471678334223
23,48oz,2026-12,1215970.528,1639652.0329421272,2707561.7432575445,48.89783117568314
24,B&J Cups,2026-01,85270.0,53384.0,491525.0,199.6970366101415
25,B&J Cups,2026-02,46867.0,67477.0,467697.0,173.59177240736682
26,B&J Cups,2026-03,81958.0,80204.21,529931.5900000001,189.0754142579482
27,B&J Cups,2026-04,84426.23999999999,81449.88,506533.8700000001,168.92692828672642
28,B&J Cups,2026-05,38880.0,86715.27,419818.6000000001,130.1456871672521
29,B&J Cups,2026-06,20511.359999999997,93197.03,347132.93000000005,104.7741291910581
30,B&J Cups,2026-07,49464.0,100348.5,296248.43000000005,91.49177002074444
31,B&J Cups,2026-08,102677.76,98440.8,300485.3900000001,116.76954652417544
32,B&J Cups,2026-09,38232.0,95837.94,242879.45000000007,118.5734007774237
33,B&J Cups,2026-10,67910.4,58561.24999999999,252228.6000000001,115.82962362625781
34,B&J Cups,2026-11,96249.59999999999,64339.56,284138.64000000013,142.42608547527516
35,B&J Cups,2026-12,29790.719999999998,66315.41,247613.9500000001,122.92498820959621
36,BJ Bars,2026-01,90072.0,48006.0,241562.0,60.020622911309054
37,BJ Bars,2026-02,73307.0,84308.0,269196.0,51.88203663789642
38,BJ Bars,2026-03,58119.0,157171.0,397342.3999999999,64.19931493569442
39,BJ Bars,2026-04,132960.96,154146.0,376157.35999999987,53.41247568335106
40,BJ Bars,2026-05,281869.44,217206.0,440820.7999999998,66.57935503034541
41,BJ Bars,2026-06,134400.0,205344.0,369876.7999999998,56.911711305097064
42,BJ Bars,2026-07,107520.0,191915.0,285481.7999999998,44.61803433697747
43,BJ Bars,2026-08,215040.0,198033.0,302488.7999999998,48.649498878205534
44,BJ Bars,2026-09,215040.0,185868.0,331660.7999999998,56.99471572308668
45,BJ Bars,2026-10,134400.0,187195.0,278865.7999999998,50.63719781616567
46,BJ Bars,2026-11,161280.0,161954.0,278191.7999999998,77.10415742793786
47,BJ Bars,2026-12,80640.0,168474.0,190357.7999999998,86.32093353688944
48,BJ PTS,2026-01,1841658.0,1586282.0,0.0,0.0
49,BJ PTS,2026-02,612910.0,2016058.0,2981431.0,302.0876194362553
50,BJ PTS,2026-03,2146577.0,2399918.518353442,2728089.481646558,165.89633014909722
51,BJ PTS,2026-04,2177305.0,2058368.8059623737,2847025.675684185,128.91854812465624
52,BJ PTS,2026-05,2198813.0,2176596.248146925,2869242.4275372596,102.30053868005541
53,BJ PTS,2026-06,2136242.4,2430410.549975457,2575074.277561802,74.1971312263596
54,BJ PTS,2026-07,2220003.4285714286,2032308.2327267807,2762769.47340645,68.59964708902675
55,BJ PTS,2026-08,2161075.2,2128678.917736284,2795165.755670166,60.625019974896695
56,BJ PTS,2026-09,1830432.0,1839270.1834751223,2786327.5721950433,54.47908063038428
57,BJ PTS,2026-10,1646148.0,1741681.5873511687,2690793.9848438753,48.12152622515806
58,BJ PTS,2026-11,1106265.6,1700507.7323926936,2096551.8524511817,34.61052150343892
59,BJ PTS,2026-12,1506265.6,1524169.9882385696,2078647.464212612,32.10198334621024
60,BR Minicups,2026-01,42417.0,0.0,0.0,0.0
61,BR Minicups,2026-02,0.0,0.0,86537.0,0.0
62,BR Minicups,2026-03,8608.4,0.0,95145.4,0.0
63,BR Minicups,2026-04,3758.3999999999996,0.0,98903.79999999999,0.0
64,BR Minicups,2026-05,47607.36,0.0,146511.15999999997,0.0
65,BR Minicups,2026-06,134096.63999999998,0.0,280607.79999999993,0.0
66,BR Minicups,2026-07,157593.59999999998,0.0,438201.3999999999,0.0
67,BR Minicups,2026-08,107827.2,0.0,546028.5999999999,0.0
68,BR Minicups,2026-09,24883.199999999997,0.0,570911.7999999998,0.0
69,BR Minicups,2026-10,8294.4,0.0,579206.1999999998,0.0
70,BR Minicups,2026-11,8294.4,0.0,587500.5999999999,0.0
71,BR Minicups,2026-12,16588.8,0.0,604089.3999999999,0.0
72,BR Pts New,2026-02,0.0,0.0,83001.0,0.0
73,Canada,2026-02,0.0,0.0,262.0,0.0
74,Dough Bites,2026-01,53743.0,30805.0,79403.0,67.58808463115807
75,Dough Bites,2026-02,5120.0,30214.0,97824.0,73.74393546636789
76,Dough Bites,2026-03,27117.0,40274.46,98106.54000000001,55.50351843094823
77,Dough Bites,2026-04,51840.0,39317.712059719466,110628.82794028055,65.95562081395585
78,Dough Bites,2026-05,43680.0,66736.68892971048,87572.13901057006,79.26401071569624
79,Dough Bites,2026-06,34800.0,33902.643920179464,88469.49509039058,87.53334685488892
80,Dough Bites,2026-07,37920.0,32386.309833124804,94003.18525726578,99.58315895869377
81,Dough Bites,2026-08,30720.0,28255.375834660936,96467.80942260484,104.64504930451903
82,Dough Bites,2026-09,13440.0,28382.625755301167,81525.18366730367,95.92083351768996
83,Dough Bites,2026-10,24960.0,26928.816150688133,79556.36751661554,104.714592011628
84,Dough Bites,2026-11,25440.0,24066.47695355826,80929.89056305728,92.80381109453982
85,Dough Bites,2026-12,18720.0,21518.211477132227,78131.67908592506,76.82690219694692
86,EDF,2026-01,417960.0,279531.0,902238.0,67.07927547471131
87,EDF,2026-02,121990.0,324664.0,1090251.0,71.30484675979531
88,EDF,2026-03,441886.0,482355.45,1266359.47,79.74889733786189
89,EDF,2026-04,551635.2,435044.46,1382950.21,75.29274087602964
90,EDF,2026-05,485184.0,517715.64999999997,1350418.56,73.47985923736347
91,EDF,2026-06,395580.0,584342.95,1161655.6099999999,72.43788413099911
92,EDF,2026-07,414105.0,518341.71,1057418.9,80.84229375472712
93,EDF,2026-08,377311.5,443852.83,990877.5699999998,87.58454322773804
94,EDF,2026-09,356022.0,340948.43,1005951.1399999998,104.47462058214332
95,EDF,2026-10,241893.0,337854.61,909989.5299999996,113.12941611247459
96,EDF,2026-11,193882.5,239865.30000000002,864006.7299999995,99.2553604561299
97,EDF,2026-12,45000.0,242762.24000000002,666244.4899999995,66.1618672779483
98,EFW,2026-01,0.0,22795.0,110146.0,89.18864535625266
99,EFW,2026-02,9618.0,29463.0,79919.0,54.97401736669648
100,EFW,2026-03,240.0,44635.670000000006,35523.329999999994,21.405844055087158
101,EFW,2026-04,18662.399999999998,42589.899999999994,11595.830000000002,5.5801178838839505
102,EFW,2026-05,41472.0,56981.03,0.0,-1.9759692741457058
103,EFW,2026-06,121472.0,67702.68,49856.12000000001,27.235419799622544
104,EFW,2026-07,142208.0,51121.03,140943.09,81.05227049495203
105,EFW,2026-08,122208.0,58712.68,204438.40999999997,152.3942308301552
106,EFW,2026-09,61472.0,45622.28,220288.12999999998,186.114787389924
107,EFW,2026-10,40736.0,34868.33,226155.8,203.33573541767723
108,EFW,2026-11,102208.0,36148.53,292215.27,328.45367325475485
109,EFW,2026-12,20000.0,30585.18,281630.09,323.35346549810555
110,ESS,2026-01,89895.0,106496.0,321159.0,67.66434215784736
111,ESS,2026-02,13540.0,130703.0,297291.0,59.71800917069803
112,ESS,2026-03,119052.0,154078.31000000003,292618.92999999993,54.0215560791227
113,ESS,2026-04,172146.24,144616.51,357185.6970370369,56.11056366442974
114,ESS,2026-05,241931.51999999996,180385.8978218874,488731.3192151494,78.56002542979793
115,ESS,2026-06,202696.32,201558.96999999997,551905.7062521863,99.58479510756386
116,ESS,2026-07,75390.72,171708.21000000002,517622.75328922336,104.39180979867689
117,ESS,2026-08,117489.59999999999,160815.87000000002,536331.0203262604,125.34073021448097
118,ESS,2026-09,105861.12,136691.81050911822,567537.3668541791,152.21834410378844
119,ESS,2026-10,97042.56,120047.24920842114,594069.7146827949,176.20489475488606
120,ESS,2026-11,102662.4,103659.31002226254,638443.1750309028,186.74758536035333
121,ESS,2026-12,35942.4,98628.95745493422,621126.987946339,157.11541480689354
122,Facepieces,2026-01,150000.0,217625.0,2201631.0,199.29693059348568
123,Facepieces,2026-02,125284.0,274839.0,2331198.0,148.31955523945862
124,Facepieces,2026-03,322308.0,387980.34,2265525.66,104.34417966398682
125,Facepieces,2026-04,831169.92,555063.75,2541631.83,99.18813904286161
126,Facepieces,2026-05,339694.07999999996,747659.028,2118091.842,91.55921508088227
127,Facepieces,2026-06,307088.64,789802.1167655245,1635378.365234476,96.85993456682785
128,Facepieces,2026-07,276403.2,598212.3,1282419.185234476,100.84494778138571
129,Facepieces,2026-08,391336.32,414824.7452229605,1258930.7600115158,123.27476377210989
130,Facepieces,2026-09,145927.68,348179.77614257456,1056678.6638689411,126.66878451998201
131,Facepieces,2026-10,181470.72,264564.0109015377,942435.2929674033,112.59060301943539
132,Facepieces,2026-11,225354.24,235959.61907088856,912629.9138965148,113.16094199341337
133,Facepieces,2026-12,135010.56,266268.0630055917,781372.4108909231,95.19953672442125
134,"GH ""Candy""",2026-02,0.0,0.0,79524.0,0.0
135,GH Cones,2026-02,0.0,0.0,145347.0,0.0
136,Giant Vanilla Sandwich,2026-02,0.0,0.0,143400.0,0.0
137,KL Mini Cones,2026-01,216.0,19665.0,296187.0,352.06020149637123
138,KL Mini Cones,2026-02,13425.0,19358.0,281969.0,250.6392937149997
139,KL Mini Cones,2026-03,5080.0,31119.78739109531,265455.2926089047,218.22670755430005
140,KL Mini Cones,2026-04,161280.0,36380.163431609726,390355.12917729496,305.2515177001677
141,KL Mini Cones,2026-05,59131.2,36605.02584716443,412881.3033301305,302.4522499584967
142,KL Mini Cones,2026-06,42240.0,40122.873581801556,414998.429748329,342.5456074372
143,KL Mini Cones,2026-07,56448.0,41783.8677408609,429662.5620074681,403.70091489445736
144,KL Mini Cones,2026-08,0.0,30906.907572802174,398755.6544346659,402.3684471123809
145,KL Mini Cones,2026-09,0.0,32951.63911190844,365804.0153227575,424.6982199872463
146,KL Mini Cones,2026-10,24504.96,26509.63186443541,363799.3434583221,452.4228363400852
147,KL Mini Cones,2026-11,0.0,25169.98412271083,338629.3593356113,475.36011996768315
148,KL Mini Cones,2026-12,0.0,23076.830260220308,315552.52907539095,485.17929796590363
149,MBG,2026-01,203368.0,150897.0,434030.0,63.758892842649225
150,MBG,2026-02,69612.0,190769.0,510706.0,55.76699051211573
151,MBG,2026-03,227147.0,217672.84770065945,633386.2322993407,52.55027979594221
152,MBG,2026-04,424608.0,331798.43842410913,726195.7938752316,56.78934054036191
153,MBG,2026-05,424128.0,391378.9468444455,758944.8470307861,61.01192094582793
154,MBG,2026-06,343900.0,375873.273694128,726971.5733366582,64.03631939181156
155,MBG,2026-07,326657.5,370483.99740833236,683145.0759283258,73.31625697090837
156,MBG,2026-08,312455.0,310665.30683754914,684934.7690907766,93.96306766000664
157,MBG,2026-09,238577.5,248401.7575375963,675110.5115531802,110.91807196956067
158,MBG,2026-10,246557.5,188962.48746712753,732705.5240860527,132.71108788892946
159,MBG,2026-11,0.0,176231.6596535245,556473.8644325281,109.13792377893569
160,MBG,2026-12,0.0,155031.77993154444,401442.0845009837,70.4972841021905
161,MG Sticks,2026-01,543661.0,344315.0,0.0,0.0
162,MG Sticks,2026-02,171915.0,431724.0,1778594.217,836.5390002371014
163,MG Sticks,2026-03,705455.0,540813.056155131,1943236.1608448692,538.6187426242062
164,MG Sticks,2026-04,955824.0,751815.1058490422,2147245.054995827,378.86444927862
165,MG Sticks,2026-05,986304.0,772720.5268677259,2360828.528128101,303.26815877381165
166,MG Sticks,2026-06,694925.0,788016.7653409127,2267736.7627871884,228.06053413433924
167,MG Sticks,2026-07,711075.0,560771.2236630195,2418040.539124169,210.63193160143095
168,MG Sticks,2026-08,676875.0,548034.6919453996,2546880.8471787693,196.1946466415176
169,MG Sticks,2026-09,568575.0,456107.86341917125,2659347.983759598,186.86995491739816
170,MG Sticks,2026-10,140000.0,399375.3302568369,2399972.653502761,156.60314755977248
171,MG Sticks,2026-11,0.0,346265.02484993613,2053707.6286528248,126.19671893484734
172,MG Sticks,2026-12,0.0,314025.4749994286,1739682.1536533963,101.532715729963
173,Other,2026-01,202685.0,75385.0,860979.0,154.81304929824205
174,Other,2026-02,43337.0,103149.0,1127594.0,119.63864823145114
175,Other,2026-03,356405.0,230535.66181737176,1392213.1781826282,103.46280673513337
176,Other,2026-04,543548.16,334964.2079999,1606931.530182728,98.18614974215099
177,Other,2026-05,620958.72,472406.02800001,1688878.462182718,74.22541548831212
178,Other,2026-06,725092.8,509564.362571,1702070.579611718,65.62396389765816
179,Other,2026-07,435457.92,855637.934571,1147855.2150407182,61.04419999806054
180,Other,2026-08,274550.39999999997,700565.450765,657443.1642757182,55.56835869865382
181,Other,2026-09,148174.08000000002,427654.96828597,361902.12598974805,40.94963504770702
182,Other,2026-10,141026.88,282220.053765,218419.15222474805,30.13444152059908
183,Other,2026-11,73213.44,248044.197286018,76638.00493873004,17.535281149601865
184,Other,2026-12,39326.399999999994,186845.2007646,-70880.79582586998,-14.298653195202014
185,PG,2026-01,244397.0,410926.0,1519052.0,95.23126487741666
186,PG,2026-02,88142.0,427132.0,1608992.0,84.14726503554972
187,PG,2026-03,581868.0,529939.4,1660920.6,68.34281723835282
188,PG,2026-04,595123.2,617329.26,1638714.5399999998,56.153629099541355
189,PG,2026-05,610097.28,840837.6699999999,1407974.15,50.287970887587726
190,PG,2026-06,241363.2,910124.36,1149612.99,50.600430158950495
191,PG,2026-07,174720.0,769769.41,1133485.3370009032,64.85130523789647
192,PG,2026-08,257961.6,593396.46,1290568.7324661245,95.52763146932223
193,PG,2026-09,179462.4,455296.69999999995,1548063.7894670279,128.0264698540503
194,PG,2026-10,225264.0,355297.29,1961934.4533965671,156.62039261620876
195,PG,2026-11,697670.4,370207.58,1831126.873396567,138.66578154038783
196,PG,2026-12,86563.2,381393.57,1449733.303396567,103.79233681176484
197,PTS,2026-01,22671.0,0.0,0.0,0.0
198,PTS,2026-03,69122.16,0.0,0.0,0.0
199,PTS,2026-05,66528.0,0.0,0.0,0.0
200,PTS,2026-06,43690.3877543776,0.0,0.0,0.0
201,PTS,2026-07,48544.875282641784,0.0,0.0,0.0
202,PTS,2026-08,53399.36281090596,0.0,0.0,0.0
203,PTS,2026-09,46117.63151850969,0.0,0.0,0.0
204,PTS,2026-10,90000.0,0.0,0.0,0.0
205,PTS,2026-11,43690.3877543776,0.0,0.0,0.0
206,PTS,2026-12,112500.0,0.0,0.0,0.0
207,PTS Exports,2026-01,67932.0,0.0,0.0,0.0
208,PTS Exports,2026-02,8824.0,0.0,0.0,0.0
209,PTS Exports,2026-03,90116.0,0.0,0.0,0.0
210,PTS Exports,2026-04,44352.0,0.0,0.0,0.0
211,PTS Exports,2026-05,62784.0,0.0,0.0,0.0
212,Quarts,2026-02,0.0,0.0,108499.0,0.0
213,Repack Items,2026-02,0.0,0.0,213581.0,0.0
214,Repack MG Sticks,2026-01,7828.0,0.0,0.0,0.0
215,Repack MG Sticks,2026-02,9983.0,0.0,0.0,0.0
216,Repack MG Sticks,2026-03,81591.0,0.0,0.0,0.0
217,Repack MG Sticks,2026-04,57600.0,0.0,0.0,0.0
218,Repack MG Sticks,2026-05,76800.0,0.0,0.0,0.0
219,Repack MG Sticks,2026-06,96000.0,0.0,0.0,0.0
220,Repack MG Sticks,2026-07,38400.0,0.0,0.0,0.0
221,Repack MG Sticks,2026-08,4800.0,0.0,0.0,0.0
222,Repack MG Sticks,2026-11,4800.0,0.0,0.0,0.0
223,SP1,2026-01,0.0,215139.0,829091.0,73.83582481840364
224,SP1,2026-02,85296.0,304086.0,765536.0,65.68177700807246
225,SP1,2026-03,195877.0,369644.67372575623,722970.4862742439,62.69951762407283
226,SP1,2026-04,304128.0,329668.92728042277,697429.5589938211,56.64522316874137
227,SP1,2026-05,327096.0,362174.18125092593,671855.3777428952,55.852387776152355
228,SP1,2026-06,0.0,376560.19384323206,578963.6638996631,50.76763802670417
229,SP1,2026-07,0.0,345187.3315470018,548963.5323526612,51.99402821731538
230,SP1,2026-08,0.0,339063.9195296668,556605.5328229943,57.53606762439853
231,SP1,2026-09,0.0,294428.2923738246,561605.0804491695,61.35273860165875
232,SP1,2026-10,0.0,286013.3913956398,599591.6890535296,70.48927700611895
233,SP1,2026-11,0.0,263209.1143139775,620051.0547395522,80.4741491759085
234,SP1,2026-12,0.0,247159.31151182388,768891.7432277283,88.85069978075728
235,Sundaes,2026-01,33616.0,0.0,0.0,0.0
236,Sundaes,2026-02,81737.0,0.0,0.0,0.0
237,Sundaes,2026-03,45972.0,0.0,0.0,0.0
238,Sundaes,2026-04,110880.0,0.0,0.0,0.0
239,Sundaes,2026-05,149688.0,0.0,0.0,0.0
240,Sundaes,2026-06,95017.10397449002,0.0,0.0,0.0
241,Sundaes,2026-07,105574.55997165557,0.0,0.0,0.0
242,Sundaes,2026-08,116132.01596882113,0.0,0.0,0.0
243,Sundaes,2026-09,100295.8319730728,0.0,0.0,0.0
244,Sundaes,2026-10,90000.0,0.0,0.0,0.0
245,Sundaes,2026-11,95017.10397449002,0.0,0.0,0.0
246,Sundaes,2026-12,90000.0,0.0,0.0,0.0
247,TALENTI,2026-01,273606.0,0.0,1781417.0,58.26634290761126
248,TALENTI,2026-02,229664.0,0.0,1856781.0,57.70817351121195
249,TALENTI,2026-03,260614.24,0.0,1927060.9486297853,57.210685947066224
250,TALENTI,2026-04,385920.0,0.0,2210058.9078986635,59.58472608368491
251,TALENTI,2026-05,314976.0,0.0,2059517.9056574453,57.91461701147878
252,TALENTI,2026-06,700807.6799999999,0.0,1898180.422396811,61.71477872455196
253,TALENTI,2026-07,700807.6799999999,0.0,1927279.831853306,66.2272473783611
254,TALENTI,2026-08,775894.2171428571,0.0,2161400.627839356,76.15456755253045
255,TALENTI,2026-09,571200.0,0.0,2095558.4837605502,81.23366761603877
256,TALENTI,2026-10,652800.0,0.0,2217606.7325315196,101.73716359916162
257,TALENTI,2026-11,408000.0,0.0,2076469.6924100707,98.33860015821661
258,TALENTI,2026-12,400461.53142857144,0.0,2164713.042578077,84.46380649611123
259,Talenti,2026-01,513798.0,676223.0,0.0,0.0
260,Talenti,2026-02,225971.0,861510.0,1856781.0,440.72999994147233
261,Talenti,2026-03,844141.0,972911.2913702147,1728010.7086297853,251.21994016350536
262,Talenti,2026-04,1028928.0,957610.0407311218,1799328.6678986633,189.36182323892584
263,Talenti,2026-05,912864.0,1063405.0022412185,1648787.6656574449,132.80069254196852
264,Talenti,2026-06,299911.68,1162056.8432606347,786642.5023968101,50.4283150790461
265,Talenti,2026-07,299911.68,971619.9505435054,114934.23185330466,6.293905336492119
266,Talenti,2026-08,332045.07428571425,873818.4954425212,-426839.18930350227,-20.664956732457537
267,Talenti,2026-09,235200.0,872242.144078806,-1063881.3333823083,-46.165541515906824
268,Talenti,2026-10,299911.68,830663.4312290308,-1594633.084611339,-62.977416653550854
269,Talenti,2026-11,168000.0,717137.0401214493,-2143770.124732788,-78.56818945826825
270,Talenti,2026-12,278489.4171428571,590707.5984034222,-2455988.305993353,-84.97097798529863
271,Topped,2026-01,121965.0,0.0,0.0,0.0
272,Topped,2026-02,162834.0,0.0,0.0,0.0
273,Topped,2026-03,211985.0,0.0,0.0,0.0
274,Topped,2026-04,193248.0,0.0,0.0,0.0
275,Topped,2026-05,120384.0,0.0,0.0,0.0
276,Topped,2026-06,144960.98827113237,0.0,0.0,0.0
277,Topped,2026-07,161067.76474570262,0.0,0.0,0.0
278,Topped,2026-08,177174.5412202729,0.0,0.0,0.0
279,Topped,2026-09,153014.37650841748,0.0,0.0,0.0
280,Topped,2026-10,144000.0,0.0,0.0,0.0
281,Topped,2026-11,144960.98827113237,0.0,0.0,0.0
282,Topped,2026-12,193500.0,0.0,0.0,0.0
283,YS PTS,2026-01,209681.0,81821.0,229541.0,51.794209010156415
284,YS PTS,2026-02,267017.0,76507.0,426103.0,64.74532317985783
285,YS PTS,2026-03,182686.0,189400.33333333334,549588.6666666666,74.65670700139917
286,YS PTS,2026-04,226200.0,205472.66666666666,570316.0,69.31276258509487
287,YS PTS,2026-05,125760.0,236220.0,459856.0,60.960674312458686
