main_tech,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
2.4 Gal,371.2985229264844,53.45511404335532,289.906967799246,289.116415871819,440.7852070461828,248.9625655230914,461.78330553251647,481.86100139491043,188.7290155230914,144.5577455230914,453.754785871819,0.0
48oz,15817.221953999999,3926.2495679999997,17063.948232,19656.2320692,16428.91789056,19428.59384228571,19746.451392,19885.70921142857,14757.660997851428,14373.418384457142,10360.068898559999,10360.068898559999
B&J Cups,186.406704,90.16091999999999,247.27468799999997,247.37377535999997,128.77056,37.8971136,70.51587839999999,187.63799039999995,67.13383679999998,109.15845119999997,161.80922879999997,71.69990399999999
BJ Bars,216.1728,175.93679999999998,139.48559999999998,319.10630399999997,676.4866559999999,322.56,258.048,516.096,516.096,322.56,387.072,193.536
BJ PTS,6970.70232096,2319.808612672,8120.865135104,8233.93455616,8316.007498496,8086.412351385599,8403.476658322286,8180.4130418688,6928.8147886080005,6231.236454912,4187.5958513664,5701.7334513664
BR Minicups,225.743274,0.0,45.8139048,20.0022048,50.673273984000005,178.046701056,203.05686528,150.08550911999998,61.79991552,44.1427968,44.1427968,88.2855936
BR Pts New,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dough Bites,93.07420217600001,8.236908544,46.28258208,92.54714112000002,75.61431552,61.58173440000001,67.7468544,51.600522240000004,24.407040000000002,43.712294400000005,44.105541120000005,31.90202112
EDF,3847.9351440000005,1078.070856,3937.9887120000003,5039.1489024,4345.107148800001,3788.0740800000003,3965.4694800000007,3613.1349240000004,3409.2666720000007,2316.367368,1856.6188200000001,430.9200000000001
EFW,0.0,37.625615999999994,0.9388799999999999,69.20248319999999,147.35001599999998,475.19846399999994,526.5408,398.49292799999995,208.130304,144.47078399999998,352.601088,78.24
ESS,385.703124,81.24,557.612766,815.13351936,1266.206976,940.9055615999999,452.34432000000004,562.9359744000001,493.16509440000004,446.7990528,480.5180928,190.84001279999998
Facepieces,338.49899999999997,272.395452,690.8397600000001,1769.1311232,722.0348928,661.6525824,593.4081024,857.7004032,320.1830784,399.16272384,484.16163839999996,305.3316096
