main_tech,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
2.4 Gal,326.96,47.072,255.288,254.592,392.428,219.232,406.64,424.32000000000005,166.192,127.296,399.568,0.0
48oz,10581.060064935065,2641.5324675324678,11419.729707792209,13151.387402597402,10987.22051948052,13239.041025641023,13430.74935064935,13556.4005994006,9975.8127012987,9754.052527472528,7019.459818181818,7019.459818181818
B&J Cups,314.1677389277389,154.5568376068376,456.1104506604507,459.01657062937056,235.63636363636363,56.792123076923076,105.6923076923077,310.3428923076923,110.9353846153846,174.35076923076923,264.1476923076923,118.82732307692308
BJ Bars,545.8909090909091,444.28484848484845,352.23636363636365,805.824,1708.2996363636364,814.5454545454545,651.6363636363636,1303.2727272727273,1303.2727272727273,814.5454545454545,977.4545454545454,488.72727272727275
BJ PTS,7673.575,2553.7916666666665,8944.070833333333,9072.104166666666,9161.720833333333,8901.01,9250.014285714286,9004.48,7626.8,6858.95,4609.4400000000005,6276.106666666667
BR Minicups,353.475,0.0,71.73666666666666,31.319999999999997,250.56505263157894,731.237052631579,854.9052631578946,592.9768421052631,156.4294736842105,69.11999999999999,69.11999999999999,138.23999999999998
BR Pts New,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dough Bites,209.93359375,20.0,105.92578125,202.5,170.625,135.9375,148.125,120.0,52.5,97.5,99.375,73.125
EDF,3166.3636363636365,924.1666666666667,3347.621212121212,4179.054545454545,3675.6363636363635,2996.818181818182,3137.159090909091,2858.4204545454545,2697.1363636363635,1832.5227272727273,1468.8068181818182,340.90909090909093
EFW,0.0,34.84782608695652,0.8695652173913043,64.87453416149069,139.527950310559,398.7080745341615,452.3726708074534,400.9937888198758,212.37267080745343,126.50931677018633,338.88198757763973,62.11180124223603
ESS,639.5119047619048,125.37037037037037,905.6785714285714,1320.6819047619047,2043.3690043290042,1491.3473015873017,698.0622222222222,909.6571428571428,801.9860317460317,688.5384126984127,740.5739682539684,306.6311111111111
Facepieces,760.0,678.7729603729604,1773.9948717948719,4232.503560439561,1720.2187252747253,1667.3638041958043,1409.4696343656342,2053.3111688311687,738.5308451548451,902.0300659340659,1192.5573532350004,667.2541538461538
"GH ""Candy""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Cones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Vanilla Sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL Mini Cones,2.0,119.86111111111111,47.03703703703704,768.0,471.6,192.0,307.2,0.0,0.0,111.38618181818181,0.0,0.0
MBG,1178.6873881673882,392.14828282828285,1249.944329004329,2511.7007792207796,2447.2103896103895,1980.05772005772,1830.1345598845598,1750.563492063492,1405.770202020202,1457.5883838383838,0.0,0.0
MG Sticks,3044.1441115426155,921.3940392940393,2948.5017202033937,4038.442118440496,4871.3713225697,3908.120629370629,3999.862221112221,3805.5044955044955,3291.160402097902,889.7768897768898,0.0,0.0
Other,1265.0271913580248,492.3666666666667,1645.43159336076,2371.6832526032526,2484.3526882781293,3297.9361578575413,2274.576786797418,1752.485867894289,970.7125082792451,634.6786943974171,495.57878349972464,218.30867102396513
PG,1879.9769230769232,678.0153846153846,4475.907692307692,4438.301538461538,4693.056,1856.64,1344.0,1984.32,1380.48,1732.8,5366.695384615385,665.8707692307692
PTS,94.4625,0.0,288.009,0.0,277.2,182.0432823099067,202.2703136776741,222.49734504544148,192.15679799379038,375.0,182.0432823099067,468.75
PTS Exports,283.05,36.766666666666666,375.48333333333335,184.8,261.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repack Items,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repack MG Sticks,260.93333333333334,332.76666666666665,275.64527027027026,194.5945945945946,259.4594594594595,324.3243243243244,129.72972972972974,160.0,0.0,0.0,160.0,0.0
SP1,0.0,355.4,816.1541666666667,1267.2,1362.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundaes,140.06666666666666,340.5708333333333,191.55,462.0,623.7,395.9045998937084,439.8939998818982,483.88339987008806,417.8992998878033,375.0,395.9045998937084,375.0
TALENTI,1072.964705882353,900.643137254902,1022.0166274509804,1513.4117647058824,1235.2,2748.2654117647057,2748.2654117647057,3042.7224201680674,2240.0,2560.0,1600.0,1570.4373781512606
Talenti,2014.894117647059,886.1607843137255,3313.189950980392,4038.6823529411763,3598.964705882353,1176.1242352941176,1176.1242352941176,1302.1375462184872,922.3529411764706,1176.1242352941176,658.8235294117648,1092.1153613445376
Topped,508.1875,678.475,883.2708333333334,805.2,501.6,604.0041177963849,671.1156864404276,738.2272550844704,637.5599021184062,600.0,604.0041177963849,806.25
YS PTS,873.6708333333333,1112.5708333333334,761.1916666666667,942.5,524.0,324.0,648.0,324.0,524.0,324.0,548.0,212.0
Yasso Club,685.8333333333334,1592.9791666666667,1494.5583333333334,460.8,757.26,921.6,460.8,1843.2,1382.4,1382.4,1436.8000000000002,1382.4
Yasso Cups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yasso Poppables,0.495,103.895,0.0,17.28,0.0,105.6,52.8,42.24,52.800000000000004,31.68,21.12,0.0
Yasso Sandwich,0.0,187.73888888888888,190.73333333333332,0.0,298.1333333333333,0.0,0.0,0.0,0.0,39.25333333333333,0.0,0.0
Yasso Sticks,1471.9818181818182,572.030303030303,3286.2606060606063,3157.6087272727273,9118.545454545454,3221.8181818181815,3242.181818181818,2299.6363636363635,1525.8181818181818,1221.8181818181818,1527.2727272727273,1066.1818181818182
pG,247.73076923076923,149.45384615384614,500.1,155.07692307692307,465.23076923076917,0.0,588.2692307692307,562.6923076923077,537.1153846153846,588.2692307692307,0.0,0.0
