,main_tech,peak_inv_cases,trough_inv_cases,annual_demand_cases,bandwidth,peak_doh,doh_target,doh_over_under,season_readiness
0,2.4 Gal,249505.5870788139,141515.0,518889.89855725033,0.196,180.83,120.0,60.83,Green
1,48oz,4199159.912065478,2707561.7432575445,24143971.4995996,0.136,71.17,45.0,26.17,Green
2,B&J Cups,529931.5900000001,242879.45000000007,946270.85,0.4573,116.77,35.0,81.77,Green
3,BJ Bars,440820.7999999998,190357.7999999998,1959620.0,0.0878,48.65,35.0,13.65,Yellow
4,BJ PTS,2981431.0,0.0,23634250.76435882,0.0679,60.63,45.0,15.63,Yellow
5,Dough Bites,110628.82794028055,78131.67908592506,402788.32091407495,0.343,104.65,30.0,74.65,Green
6,EDF,1382950.21,666244.4899999995,4747278.63,0.1928,87.58,45.0,42.58,Green
7,EFW,204438.40999999997,0.0,521225.31,0.2074,152.39,35.0,117.39,Green
8,ESS,551905.7062521863,292618.92999999993,1709390.0950166238,0.45,125.34,35.0,90.34,Green
9,Facepieces,2541631.83,781372.4108909231,5100977.749109078,0.1759,123.27,60.0,63.27,Green
10,KL Mini Cones,429662.5620074681,265455.2926089047,363649.7109246091,1.557,402.37,60.0,342.37,Green
11,MBG,758944.8470307861,401442.0845009837,3108166.4954990163,0.2169,93.96,41.0,52.96,Green
12,MG Sticks,2546880.8471787693,0.0,6253984.063346604,0.6279,196.19,45.0,151.19,Green
13,Other,1702070.579611718,-70880.79582586998,4426972.065825869,0.0847,55.57,35.0,20.57,Yellow
14,PG,1660920.6,1133485.3370009032,6661649.700000001,0.1902,95.53,43.0,52.53,Green
15,SP1,829091.0,548963.5323526612,3732334.336772271,-0.0136,57.54,60.0,-2.46,Red
16,Talenti,1856781.0,-2455988.305993353,10549904.837421924,0.0,-20.66,45.0,-65.66,Red
17,YS PTS,570316.0,229541.0,2059736.8333333333,0.2453,84.05,35.0,49.05,Green
18,Yasso Club,802764.0,-371323.6,3063074.0,0.1343,111.14,45.0,66.14,Green
19,Yasso Poppables,85293.0,10168.330367757713,163376.66963224226,0.1485,77.63,40.0,37.63,Green
20,Yasso Sandwich,113217.41,25839.890000000003,139306.71,0.4619,161.89,90.0,71.89,Green
21,Yasso Sticks,2239821.9575,1397400.1174999997,9143507.115,0.1282,69.6,45.0,24.6,Yellow
